"","14050304_COA_CAS","14050304_COA_Name_list","14050304_COA_Name_file","14050304_COA_R.time","14050304_COA_ppb","14050304_COA_ug/m3","14050304_COA_Probability"
"1","100-41-4","Ethyl Benzene",NA,NA,NA,NA,NA
"2","100-42-5","Styrene",NA,NA,NA,NA,NA
"3","100-44-7","Benzyl Chloride",NA,NA,NA,NA,NA
"4","100-51-6","Benzyl Alcohol",NA,NA,NA,NA,NA
"5","103-65-1","Propyl Benzene",NA,NA,NA,NA,NA
"6","104-46-1","Anethole",NA,NA,NA,NA,NA
"7","104-76-7","2-Ethyl-1-Hexanol",NA,NA,NA,NA,NA
"8","105-37-3","Ethyl Propionate",NA,NA,NA,NA,NA
"9","105-54-4","Ethyl butyrate",NA,NA,NA,NA,NA
"10","106-22-9","Beta-Citronellol",NA,NA,NA,NA,NA
"11","106-46-7","1,4-Dichlorobenzene",NA,NA,NA,NA,NA
"12","106-97-8","Butane","Butane",4.06,58.4905086127117,140.377220670508,97
"13","106-99-0","1,3-Butadiene",NA,NA,NA,NA,NA
"14","107-05-1","Allyl Chloride",NA,NA,NA,NA,NA
"15","107-06-2","1,2-Dichloroethane",NA,NA,NA,NA,NA
"16","107-07-3","2-Chloroethanol",NA,NA,NA,NA,NA
"17","107-13-1","Acrylonitrile",NA,NA,NA,NA,NA
"18","107-31-3","Methyl Formate",NA,NA,NA,NA,NA
"19","107-46-0","Hexamethyldisiloxane",NA,NA,NA,NA,NA
"20","107-83-5","2-Methylpentane",NA,NA,NA,NA,NA
"21","107-87-9","2-Pentanone",NA,NA,NA,NA,NA
"22","107-98-2","1-Methoxy-2-Propanol (PGME)",NA,NA,NA,NA,NA
"23","108-05-4","Vinyl Acetate",NA,NA,NA,NA,NA
"24","108-08-7","2,4-Dimethylpentane",NA,NA,NA,NA,NA
"25","108-10-1","Hexone (MIBK)",NA,NA,NA,NA,NA
"26","108-20-3","Diisopropyl Ether",NA,NA,NA,NA,NA
"27","108-21-4","Isopropyl Acetate",NA,NA,NA,NA,NA
"28","108-38-3","M-Xylene",NA,NA,NA,NA,NA
"29","108-65-6","Propylene Glycol Methyl Ether Acetate",NA,NA,NA,NA,NA
"30","108-67-8","1,3,5-Trimethylbenzène",NA,NA,NA,NA,NA
"31","108-87-2","Methylcyclohexane",NA,NA,NA,NA,NA
"32","108-88-3","Toluene","Toluene",14.47,0.381501614149091,1.43063105305909,94
"33","108-90-7","Chlorobenzene",NA,NA,NA,NA,NA
"34","108-93-0","Cyclohexanol",NA,NA,NA,NA,NA
"35","108-94-1","Cyclohexanone",NA,NA,NA,NA,NA
"36","108-98-5","Thiophenol",NA,NA,NA,NA,NA
"37","109.86-4","2-Methoxyethanol",NA,NA,NA,NA,NA
"38","109-60-4","n-Propyl Acetate","n-Propyl acetate",11.7,3.61421204426753,15.1796905859236,97
"39","109-66-0","n-Pentane","Pentane",5.05,2.58292577092797,7.61963102423753,97
"40","109-79-5","1-Butanethiol",NA,NA,NA,NA,NA
"41","109-87-5","Dimethoxymethane",NA,NA,NA,NA,NA
"42","109-94-4","Ethyl Formate",NA,NA,NA,NA,NA
"43","109-99-9","Tetrahydrofuran",NA,NA,NA,NA,NA
"44","110-05-4","Di-t-Butyl Peroxyde",NA,NA,NA,NA,NA
"45","110-19-0","Isobutyl Acetate",NA,NA,NA,NA,NA
"46","110-54-3","n-Hexane",NA,NA,NA,NA,NA
"47","110-80-5","2-Ethoxyethanol",NA,NA,NA,NA,NA
"48","110-82-7","Cyclohexane",NA,NA,NA,NA,NA
"49","110-86-1","Pyridine",NA,NA,NA,NA,NA
"50","111-15-9","2-Ethoxyethylacetate",NA,NA,NA,NA,NA
"51","111-65-9","Octane (all isomers)",NA,NA,NA,NA,NA
"52","111-66-0","1-Octene",NA,NA,NA,NA,NA
"53","111-76-2","Butylcellosolve (2-Butoxyethanol)",NA,NA,NA,NA,NA
"54","111-84-2","Nonane",NA,NA,NA,NA,NA
"55","111-90-0","Diethylene Glycol Ethyl Ether",NA,NA,NA,NA,NA
"56","111-96-0","DEGDME",NA,NA,NA,NA,NA
"57","1120-21-4","Undecane",NA,NA,NA,NA,NA
"58","112-07-2","2-Butoxyethylacetate",NA,NA,NA,NA,NA
"59","112-25-4","EGHE",NA,NA,NA,NA,NA
"60","112-31-2","Decanal",NA,NA,NA,NA,NA
"61","112-34-5","Diethylene Glycol Monobutyl Ether",NA,NA,NA,NA,NA
"62","112-40-3","Dodecane",NA,NA,NA,NA,NA
"63","115-10-6","Dimethyl ether",NA,NA,NA,NA,NA
"64","115-11-7","2-methyl-1-propene",NA,NA,NA,NA,NA
"65","1192-18-3","1,2-Dimethylcyclopentane",NA,NA,NA,NA,NA
"66","120-82-1","1,2,4-Trichlorobenzene",NA,NA,NA,NA,NA
"67","121-43-7","Trimethyl Borate",NA,NA,NA,NA,NA
"68","123-51-3","3-Methyl-1-Butanol",NA,NA,NA,NA,NA
